rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,year,genres,actors,directors,distributor,importer
6,6,-1,OLD,20128274,레미제라블,2012-12-19,996394000,2.3,-1326223000,-57.1,42164224500,144105,-179264,-55.4,5785922,325,4029,20130203,2013,드라마,"휴 잭맨,러셀 크로우,앤 해서웨이,아만다 사이프리드,헬레나 본햄 카터",톰 후퍼,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
7,7,2,OLD,20128386,라이프 오브 파이,2013-01-01,731016500,1.7,-1129259500,-60.7,15442196500,67072,-99920,-59.8,1550671,149,1855,20130203,2013,"어드벤처,드라마","수라즈 샤르마,이르판 칸,라프 스팰",이안,주식회사 해리슨앤컴퍼니 | 이십세기폭스코리아(주),주식회사 해리슨앤컴퍼니 | 이십세기폭스코리아(주)
8,8,2,OLD,20048799,명탐정 코난:은빛 날개의 마술사,2013-01-24,411176500,1.0,-259628000,-38.7,1085119000,63327,-38194,-37.6,165371,130,1764,20130203,2013,애니메이션,"김선혜,강수진,이정구",야마모토 야스이치로,(주)씨제이이엔엠,얼리버드
9,9,-2,OLD,20121861,더 임파서블,2013-01-17,383552000,0.9,-1185996500,-75.6,4411413000,54738,-168701,-75.5,617895,240,3419,20130203,2013,"액션,드라마,스릴러","이완 맥그리거,나오미 왓츠",후안 안토니오 바요나,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트
10,10,-4,OLD,20123333,잭 리처,2013-01-17,262268000,0.6,-1756519000,-87.0,5735200500,37315,-240808,-86.6,780719,312,2634,20130203,2013,액션,"톰 크루즈,로자먼드 파이크,로버트 듀발,베르너 헤어조크,리차드 젠킨스",크리스토퍼 맥쿼리,(주)씨제이이엔엠,(주)씨제이이엔엠
1,1,0,OLD,20127593,7번방의 선물,2013-01-23,15197937191,37.6,-2221601586,-12.8,45317155170,2089485,-362365,-14.8,6281382,802,25107,20130210,2013,"코미디,드라마","류승룡,박신혜,갈소원,오달수,박원상",이환경,(주)넥스트엔터테인먼트월드(NEW),
2,2,0,OLD,20124083,베를린,2013-01-30,14259748516,35.3,-2290143105,-13.8,30835035137,1929417,-318725,-14.2,4180706,810,27148,20130210,2013,액션,"하정우,한석규,류승범,전지현,이경영",류승완,(주)씨제이이엔엠,
3,3,41,OLD,20123387,다이하드: 굿 데이 투 다이,2013-02-06,4834122000,12.0,4831514000,185257.4,4836730000,625114,624788,191652.8,625440,459,12454,20130210,2013,"액션,범죄,스릴러","브루스 윌리스,제이 코트니,메리 엘리자베스 윈스티드,패트릭 스튜어트,콜 하우저",존 무어,이십세기폭스코리아(주),이십세기폭스코리아(주)
4,4,13,OLD,20125990,남쪽으로 튀어,2013-02-06,2869807000,7.1,2838253000,8994.9,2933361000,391617,386358,7346.6,402593,428,10401,20130210,2013,"코미디,드라마","김윤석,오연수,한예리,백승환,박사랑",임순례,롯데쇼핑㈜롯데엔터테인먼트,
5,5,-1,OLD,20123681,뽀로로 극장판 슈퍼썰매 대모험,2013-01-23,687225500,1.7,-1477518000,-68.3,5577496000,97531,-202509,-67.5,756277,294,3662,20130210,2013,애니메이션,"이선,이미자,김환진,함수정,홍소영",박영균,(주)넥스트엔터테인먼트월드(NEW) | (주)씨제이이엔엠,
6,6,18,OLD,20123421,눈의 여왕,2013-02-07,568821500,1.4,550369500,2982.7,591743500,82403,80074,3438.1,85087,311,2421,20130210,2013,애니메이션,"박보영,이수근,최수민,장광","막심 스베쉬니코브,블라드 바르베",(주)넥스트엔터테인먼트월드(NEW),(주)씨씨에스미디어
7,7,-4,OLD,20124935,박수건달,2013-01-09,397045000,1.0,-1768488000,-81.7,28284536069,57654,-250888,-81.3,3884350,331,3192,20130210,2013,코미디,"박신양,김정태,엄지원,정혜영,김성균",조진규,(주)쇼박스,
8,8,-2,OLD,20128274,레미제라블,2012-12-19,343406000,0.9,-652988000,-65.5,42507630500,49092,-95013,-65.9,5835014,209,1515,20130210,2013,드라마,"휴 잭맨,러셀 크로우,앤 해서웨이,아만다 사이프리드,헬레나 본햄 카터",톰 후퍼,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
9,9,0,NEW,20010292,몬스터 주식회사,2001-12-20,360184000,0.9,360184000,100.0,364422000,34291,34291,100.0,34617,173,1289,20130210,2013,"애니메이션,코미디","존 굿맨,빌리 크리스탈","리 언크리치,피터 닥터,데이빗 실버맨",한국소니픽쳐스릴리징브에나비스타영화㈜ | 소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),브에나비스타 | 한국소니픽쳐스릴리징브에나비스타영화㈜ | 소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
10,10,-3,OLD,20128386,라이프 오브 파이,2013-01-01,175490500,0.4,-555526000,-76.0,15617687000,17870,-49202,-73.4,1568541,93,654,20130210,2013,"어드벤처,드라마","수라즈 샤르마,이르판 칸,라프 스팰",이안,주식회사 해리슨앤컴퍼니 | 이십세기폭스코리아(주),주식회사 해리슨앤컴퍼니 | 이십세기폭스코리아(주)
1,1,0,OLD,20127593,7번방의 선물,2013-01-23,18523200000,39.1,3325262809,21.9,63840355170,2586162,496677,23.8,8867544,827,24086,20130217,2013,"코미디,드라마","류승룡,박신혜,갈소원,오달수,박원상",이환경,(주)넥스트엔터테인먼트월드(NEW),
2,2,0,OLD,20124083,베를린,2013-01-30,13115297500,27.7,-1144451016,-8.0,43950332637,1799325,-130092,-6.7,5980031,793,22553,20130217,2013,액션,"하정우,한석규,류승범,전지현,이경영",류승완,(주)씨제이이엔엠,
3,3,0,OLD,20123387,다이하드: 굿 데이 투 다이,2013-02-06,5008613000,10.6,174491000,3.6,9845343000,672402,47288,7.6,1297842,452,13248,20130217,2013,"액션,범죄,스릴러","브루스 윌리스,제이 코트니,메리 엘리자베스 윈스티드,패트릭 스튜어트,콜 하우저",존 무어,이십세기폭스코리아(주),이십세기폭스코리아(주)
